STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU, No_HH , TOT_P , TOT_M , TOT_F , P_06 , M_06 , F_06 , P_SC , M_SC , F_SC , P_ST , M_ST , F_ST , P_LIT , M_LIT , F_LIT , P_ILL , M_ILL , F_ILL , TOT_WORK_P , TOT_WORK_M , TOT_WORK_F , MAINWORK_P , MAINWORK_M , MAINWORK_F , MAIN_CL_P , MAIN_CL_M , MAIN_CL_F , MAIN_AL_P , MAIN_AL_M , MAIN_AL_F , MAIN_HH_P , MAIN_HH_M , MAIN_HH_F , MAIN_OT_P , MAIN_OT_M , MAIN_OT_F , MARGWORK_P , MARGWORK_M , MARGWORK_F , MARG_CL_P , MARG_CL_M , MARG_CL_F , MARG_AL_P , MARG_AL_M , MARG_AL_F , MARG_HH_P , MARG_HH_M , MARG_HH_F , MARG_OT_P , MARG_OT_M , MARG_OT_F , NON_WORK_P , NON_WORK_M , NON_WORK_F , INST_P , INST_M , INST_F , HLESS_P , HLESS_M , HLESS_F 
00,00,0000,00000000,0,0,INDIA,India,Total," 193,579,954 "," 1,028,610,328 "," 532,156,772 "," 496,453,556 "," 163,819,614 "," 84,999,203 "," 78,820,411 "," 166,635,700 "," 86,088,760 "," 80,546,940 "," 84,326,240 "," 42,640,829 "," 41,685,411 "," 560,687,797 "," 336,533,716 "," 224,154,081 "," 467,922,531 "," 195,623,056 "," 272,299,475 "," 402,234,724 "," 275,014,476 "," 127,220,248 "," 313,004,983 "," 240,147,813 "," 72,857,170 "," 103,626,068 "," 78,258,978 "," 25,367,090 "," 63,497,114 "," 41,119,069 "," 22,378,045 "," 12,206,084 "," 7,509,013 "," 4,697,071 "," 133,675,717 "," 113,260,753 "," 20,414,964 "," 89,229,741 "," 34,866,663 "," 54,363,078 "," 23,686,783 "," 7,157,520 "," 16,529,263 "," 43,278,216 "," 16,210,031 "," 27,068,185 "," 4,750,858 "," 1,235,170 "," 3,515,688 "," 17,513,884 "," 10,263,942 "," 7,249,942 "," 626,375,604 "," 257,142,296 "," 369,233,308 ", -   , -   , -   , -   , -   , -   
00,00,0000,00000000,0,0,INDIA,India,Rural," 137,747,384 "," 742,490,639 "," 381,602,674 "," 360,887,965 "," 126,470,497 "," 65,407,648 "," 61,062,849 "," 133,010,878 "," 68,603,342 "," 64,407,536 "," 77,338,597 "," 39,045,650 "," 38,292,947 "," 361,870,817 "," 223,551,641 "," 138,319,176 "," 380,619,822 "," 158,051,033 "," 222,568,789 "," 309,956,070 "," 198,839,153 "," 111,116,917 "," 229,186,552 "," 169,101,251 "," 60,085,301 "," 101,345,252 "," 76,435,797 "," 24,909,455 "," 60,517,788 "," 39,130,317 "," 21,387,471 "," 8,330,814 "," 5,036,347 "," 3,294,467 "," 58,992,698 "," 48,498,790 "," 10,493,908 "," 80,769,518 "," 29,737,902 "," 51,031,616 "," 23,374,495 "," 7,040,054 "," 16,334,441 "," 41,913,430 "," 15,575,894 "," 26,337,536 "," 3,811,866 "," 954,879 "," 2,856,987 "," 11,669,727 "," 6,167,075 "," 5,502,652 "," 432,534,569 "," 182,763,521 "," 249,771,048 ", -   , -   , -   , -   , -   , -   
00,00,0000,00000000,0,0,INDIA,India,Urban," 55,832,570 "," 286,119,689 "," 150,554,098 "," 135,565,591 "," 37,349,117 "," 19,591,555 "," 17,757,562 "," 33,624,822 "," 17,485,418 "," 16,139,404 "," 6,987,643 "," 3,595,179 "," 3,392,464 "," 198,816,980 "," 112,982,075 "," 85,834,905 "," 87,302,709 "," 37,572,023 "," 49,730,686 "," 92,278,654 "," 76,175,323 "," 16,103,331 "," 83,818,431 "," 71,046,562 "," 12,771,869 "," 2,280,816 "," 1,823,181 "," 457,635 "," 2,979,326 "," 1,988,752 "," 990,574 "," 3,875,270 "," 2,472,666 "," 1,402,604 "," 74,683,019 "," 64,761,963 "," 9,921,056 "," 8,460,223 "," 5,128,761 "," 3,331,462 "," 312,288 "," 117,466 "," 194,822 "," 1,364,786 "," 634,137 "," 730,649 "," 938,992 "," 280,291 "," 658,701 "," 5,844,157 "," 4,096,867 "," 1,747,290 "," 193,841,035 "," 74,378,775 "," 119,462,260 ", -   , -   , -   , -   , -   , -   
01,00,0000,00000000,0,0,STATE,JAMMU & KASHMIR,Total," 1,568,519 "," 10,143,700 "," 5,360,926 "," 4,782,774 "," 1,485,803 "," 765,394 "," 720,409 "," 770,155 "," 403,256 "," 366,899 "," 1,105,979 "," 578,949 "," 527,030 "," 4,807,286 "," 3,060,628 "," 1,746,658 "," 5,336,414 "," 2,300,298 "," 3,036,116 "," 3,753,815 "," 2,679,941 "," 1,073,874 "," 2,608,668 "," 2,226,958 "," 381,710 "," 948,534 "," 792,387 "," 156,147 "," 103,089 "," 93,313 "," 9,776 "," 135,690 "," 98,647 "," 37,043 "," 1,421,355 "," 1,242,611 "," 178,744 "," 1,145,147 "," 452,983 "," 692,164 "," 642,980 "," 212,148 "," 430,832 "," 143,332 "," 97,026 "," 46,306 "," 98,782 "," 27,615 "," 71,167 "," 260,053 "," 116,194 "," 143,859 "," 6,389,885 "," 2,680,985 "," 3,708,900 ",,,,,,
01,00,0000,00000000,0,0,STATE,JAMMU & KASHMIR,Rural," 1,167,108 "," 7,627,062 "," 3,977,652 "," 3,649,410 "," 1,214,965 "," 620,809 "," 594,156 "," 636,016 "," 331,380 "," 304,636 "," 1,054,488 "," 550,329 "," 504,159 "," 3,192,078 "," 2,069,618 "," 1,122,460 "," 4,434,984 "," 1,908,034 "," 2,526,950 "," 2,924,686 "," 1,968,549 "," 956,137 "," 1,862,629 "," 1,559,977 "," 302,652 "," 926,546 "," 773,027 "," 153,519 "," 93,200 "," 84,177 "," 9,023 "," 99,529 "," 69,508 "," 30,021 "," 743,354 "," 633,265 "," 110,089 "," 1,062,057 "," 408,572 "," 653,485 "," 633,087 "," 208,276 "," 424,811 "," 134,125 "," 90,280 "," 43,845 "," 79,382 "," 23,664 "," 55,718 "," 215,463 "," 86,352 "," 129,111 "," 4,702,376 "," 2,009,103 "," 2,693,273 ",,,,,,
01,00,0000,00000000,0,0,STATE,JAMMU & KASHMIR,Urban," 401,411 "," 2,516,638 "," 1,383,274 "," 1,133,364 "," 270,838 "," 144,585 "," 126,253 "," 134,139 "," 71,876 "," 62,263 "," 51,491 "," 28,620 "," 22,871 "," 1,615,208 "," 991,010 "," 624,198 "," 901,430 "," 392,264 "," 509,166 "," 829,129 "," 711,392 "," 117,737 "," 746,039 "," 666,981 "," 79,058 "," 21,988 "," 19,360 "," 2,628 "," 9,889 "," 9,136 ", 753 ," 36,161 "," 29,139 "," 7,022 "," 678,001 "," 609,346 "," 68,655 "," 83,090 "," 44,411 "," 38,679 "," 9,893 "," 3,872 "," 6,021 "," 9,207 "," 6,746 "," 2,461 "," 19,400 "," 3,951 "," 15,449 "," 44,590 "," 29,842 "," 14,748 "," 1,687,509 "," 671,882 "," 1,015,627 ",,,,,,
02,00,0000,00000000,0,0,STATE,HIMACHAL PRADESH,Total," 1,221,589 "," 6,077,900 "," 3,087,940 "," 2,989,960 "," 793,137 "," 418,426 "," 374,711 "," 1,502,170 "," 763,333 "," 738,837 "," 244,587 "," 122,549 "," 122,038 "," 4,041,621 "," 2,278,386 "," 1,763,235 "," 2,036,279 "," 809,554 "," 1,226,725 "," 2,992,461 "," 1,686,658 "," 1,305,803 "," 1,963,882 "," 1,333,361 "," 630,521 "," 1,089,124 "," 578,807 "," 510,317 "," 36,156 "," 26,499 "," 9,657 "," 34,917 "," 27,671 "," 7,246 "," 803,685 "," 700,384 "," 103,301 "," 1,028,579 "," 353,297 "," 675,282 "," 865,746 "," 255,505 "," 610,241 "," 58,015 "," 29,159 "," 28,856 "," 17,602 "," 6,363 "," 11,239 "," 87,216 "," 62,270 "," 24,946 "," 3,085,439 "," 1,401,282 "," 1,684,157 ",,,,,,
02,00,0000,00000000,0,0,STATE,HIMACHAL PRADESH,Rural," 1,079,797 "," 5,482,319 "," 2,756,073 "," 2,726,246 "," 730,628 "," 384,534 "," 346,094 "," 1,403,050 "," 710,166 "," 692,884 "," 237,060 "," 118,388 "," 118,672 "," 3,567,456 "," 2,004,134 "," 1,563,322 "," 1,914,863 "," 751,939 "," 1,162,924 "," 2,772,351 "," 1,506,711 "," 1,265,640 "," 1,758,872 "," 1,162,619 "," 596,253 "," 1,084,457 "," 576,112 "," 508,345 "," 35,344 "," 25,824 "," 9,520 "," 32,289 "," 25,471 "," 6,818 "," 606,782 "," 535,212 "," 71,570 "," 1,013,479 "," 344,092 "," 669,387 "," 862,433 "," 254,613 "," 607,820 "," 57,254 "," 28,654 "," 28,600 "," 16,902 "," 6,094 "," 10,808 "," 76,890 "," 54,731 "," 22,159 "," 2,709,968 "," 1,249,362 "," 1,460,606 ",,,,,,
02,00,0000,00000000,0,0,STATE,HIMACHAL PRADESH,Urban," 141,792 "," 595,581 "," 331,867 "," 263,714 "," 62,509 "," 33,892 "," 28,617 "," 99,120 "," 53,167 "," 45,953 "," 7,527 "," 4,161 "," 3,366 "," 474,165 "," 274,252 "," 199,913 "," 121,416 "," 57,615 "," 63,801 "," 220,110 "," 179,947 "," 40,163 "," 205,010 "," 170,742 "," 34,268 "," 4,667 "," 2,695 "," 1,972 ", 812 , 675 , 137 ," 2,628 "," 2,200 ", 428 ," 196,903 "," 165,172 "," 31,731 "," 15,100 "," 9,205 "," 5,895 "," 3,313 ", 892 ," 2,421 ", 761 , 505 , 256 , 700 , 269 , 431 ," 10,326 "," 7,539 "," 2,787 "," 375,471 "," 151,920 "," 223,551 ",,,,,,
03,00,0000,00000000,0,0,STATE,PUNJAB,Total," 4,348,580 "," 24,358,999 "," 12,985,045 "," 11,373,954 "," 3,171,829 "," 1,763,801 "," 1,408,028 "," 7,028,723 "," 3,714,350 "," 3,314,373 ", -   , -   , -   ," 14,756,970 "," 8,442,293 "," 6,314,677 "," 9,602,029 "," 4,542,752 "," 5,059,277 "," 9,127,474 "," 6,960,213 "," 2,167,261 "," 7,835,732 "," 6,426,028 "," 1,409,704 "," 1,894,024 "," 1,713,256 "," 180,768 "," 1,057,622 "," 892,869 "," 164,753 "," 244,841 "," 162,519 "," 82,322 "," 4,639,245 "," 3,657,384 "," 981,861 "," 1,291,742 "," 534,185 "," 757,557 "," 171,043 "," 49,613 "," 121,430 "," 432,239 "," 211,271 "," 220,968 "," 88,929 "," 16,279 "," 72,650 "," 599,531 "," 257,022 "," 342,509 "," 15,231,525 "," 6,024,832 "," 9,206,693 ",,,,,,
